CASEID,WGT2011_2015,WGT2013_2017,WGT2015_2019,WGT2011_2017,WGT2013_2019,WGT2011_2019
55992,6040.9096136,,,3918.4517063,,3126.1461654
55993,4105.0774964,,,2286.6502317,,1576.8071819
55994,22651.786936,,,16471.56359,,13789.685223
55996,3974.1250736,,,2215.9421188,,1528.756545
55997,3250.0849735,,,2327.0663763,,1774.8672394
55998,8918.5351749,,,6407.9929584,,4894.7710526
56001,5320.1344547,,,3459.2034085,,2757.5576163
56002,1697.3929238,,,576.3166,,394.0221
56004,1881.9035213,,,946.8910019,,634.08635908
56008,2295.3204802,,,1535.5448147,,1157.8865195
56010,2719.6946068,,,2266.8561335,,1786.5239456
56011,9823.9512305,,,10838.104982,,5483.9160111
56013,1111.0123322,,,795.3646233,,633.07184289
56015,11786.652836,,,8472.8567549,,6473.3773575
56016,2687.7803467,,,975.06906862,,547.94178847
56017,3752.0273308,,,2788.4173304,,2074.5314675
56018,13007.670618,,,9351.9125372,,7145.4231373
56019,1637.4062618,,,1165.3858906,,915.27234206
56021,3162.9954602,,,2022.1019157,,1548.1934736
56025,2320.3617927,,,1561.9172129,,1228.2989167
56031,3404.2758194,,,2189.3938807,,1715.7230383
56032,39574.78,,,29365.5,,21350.08
56034,3071.0593123,,,2738.7972661,,1547.5629749
56036,1746.1543194,,,1061.3247351,,791.19000719
56041,2970.3774765,,,1522.4644256,,1131.9985807
56042,3393.5119885,,,2306.0433638,,1915.2959513
56045,4254.9678583,,,3050.5186659,,2327.9527977
56046,2840.0874273,,,1879.0194056,,1489.316162
56049,2193.0385242,,,1566.0596107,,1193.0709581
56050,1762.6850797,,,1188.1985922,,940.0531192
56051,3711.9078599,,,2494.4407788,,1947.5459224
56053,10100.514831,,,6834.1966176,,5650.6454333
56057,3785.2734138,,,2481.2530565,,1972.6634683
56059,2792.1882767,,,3015.5824207,,1557.808203
56061,1820.0956952,,,1297.5642989,,987.80396038
56062,3272.3255286,,,2337.8838572,,1850.6310389
56063,5657.6319628,,,3798.3383796,,2953.2303679
56064,5427.9176475,,,3960.4783921,,3333.9736713
56065,2206.5109554,,,1562.1191943,,1202.0857057
56066,6464.7942995,,,2238.8798527,,1210.4362682
56068,9910.7743607,,,6954.7662769,,5738.0937436
56069,880.5852,,,781.7664392,,609.24043381
56070,15719.483018,,,8306.869767,,6103.1112001
56071,1901.0962382,,,1614.3457739,,1160.9117769
56072,4160.6524695,,,2974.9560068,,2358.8545008
56077,2727.0192947,,,1834.4325919,,1438.4875677
56078,1011.4627993,,,721.28296658,,560.12939357
56079,3331.9749046,,,2380.6619769,,1884.7572271
56080,2844.0597436,,,2034.7538226,,1551.3917534
56084,8659.6126211,,,4568.7995667,,3089.6699875
56086,14047.19853,,,9420.4796186,,7289.5371382
56087,5027.7464546,,,3272.9057958,,2608.0368296
56088,13675.688304,,,9600.0044922,,7920.6387001
56089,4626.7373412,,,3433.0588342,,2565.6810337
56091,1906.7493763,,,1348.7164776,,1036.8051602
56094,1401.4394694,,,962.37207452,,753.62326668
56097,2033.5506211,,,1448.932197,,1155.2907143
56098,6186.170764,,,3952.2627655,,3505.9536953
56100,20566.194128,,,14740.346889,,9420.0873571
56102,7095.3779282,,,5095.4347446,,3160.9500532
56103,6616.8291477,,,3642.8772935,,2498.4492858
56104,4382.1058022,,,2973.4807274,,2465.8762145
56105,1078.8370929,,,770.12551068,,597.87687673
56111,5674.9874889,,,3809.9689231,,2962.2009011
56113,1917.3027043,,,1033.7842386,,768.96908546
56114,4743.207627,,,3048.1046377,,2344.0393166
56115,3836.6134774,,,2247.1426324,,1702.4558648
56117,2983.2074187,,,2000.6260702,,1510.0756543
56118,15331.355822,,,10986.132603,,8749.7599985
56119,4207.9840134,,,1482.6962003,,802.93090094
56121,2581.5343344,,,1736.9380446,,1363.2909037
56122,4976.71134,,,5479.6456496,,3670.7082329
56124,8254.0856865,,,8626.3891676,,6337.4494166
56126,2515.5475179,,,1758.8608853,,1451.0329256
56127,3134.5679277,,,2066.6502734,,1639.9070072
56128,1744.4572076,,,1144.0491202,,921.39025057
56130,9224.794887,,,6472.7953351,,5340.4270072
56132,11319.119589,,,7260.6980292,,5710.0048389
56133,21585.990975,,,15527.762078,,11866.913746
56135,2599.0315205,,,1841.5577907,,1418.5110838
56136,2292.128032,,,1601.8857801,,1321.515205
